timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1554948009.60678,784.1025391,25.38461494,1045.60437,1028.681274
1554948009.61037,,,,
1554948009.61068,790.1465454,25.38461494,886.0439453,914.6520386
1554948009.61457,797.8021851,25.38461494,573.3699341,776.8497925
1554948009.61847,796.5933838,25.38461494,611.6483765,865.4945068
1554948009.62237,797.8021851,25.38461494,758.3150024,1015.787537
1554948009.62355,,,,
1554948009.62627,794.9816895,25.38461494,814.3223267,942.0512695
1554948009.62926,,,,
1554948009.62974,,,,
1554948009.63017,791.3552856,25.38461494,654.3589478,772.8204956
1554948009.63407,772.4176025,25.38461494,634.2124634,788.9377441
1554948009.63797,776.4468994,25.38461494,904.5787354,958.9743652
1554948009.64187,802.6373901,25.38461494,948.4981689,971.46521
1554948009.64294,,,,
1554948009.64577,792.967041,25.38461494,716.4102783,792.967041
1554948009.64912,,,,
1554948009.64966,794.5787354,25.38461494,573.7728882,745.4212646
1554948009.65356,808.2783813,25.38461494,756.7033081,908.6080322
1554948009.65569,,,,
1554948009.65569,,,,
1554948009.65587,,,,
1554948009.65590,,,,
1554948009.65592,,,,
1554948009.65593,,,,
1554948009.65595,,,,
1554948009.65597,,,,
1554948009.65598,,,,
1554948009.65600,,,,
1554948009.65602,,,,
1554948009.65603,,,,
1554948009.65604,,,,
1554948009.65605,,,,
1554948009.65606,,,,
1554948009.65607,,,,
1554948009.65607,,,,
1554948009.65610,,,,
1554948009.65746,810.2930298,25.38461494,929.9633789,988.7911987
1554948009.66136,815.1282349,25.38461494,716.4102783,838.901123
1554948009.66233,,,,
1554948009.66441,,,,
1554948009.66526,802.234436,25.38461494,527.032959,725.2747192
1554948009.66849,,,,
1554948009.66916,775.6410522,25.38461494,763.5531006,848.5714111
1554948009.67306,789.7435913,25.38461494,985.9707031,982.7472534
1554948009.67696,793.7728882,25.38461494,880,887.6557007
1554948009.68085,792.5640869,25.38461494,519.7802124,745.4212646
1554948009.68172,,,,
1554948009.68475,796.1904907,25.38461494,595.934082,807.4725342
1554948009.68786,,,,
1554948009.68865,784.1025391,25.38461494,1032.710571,971.868103
1554948009.69255,799.4139404,25.38461494,986.7765503,936.0073242
1554948009.69645,796.5933838,25.38461494,697.4725342,760.3296509
1554948009.69955,,,,
1554948009.70035,789.7435913,25.38461494,650.3296509,769.5970459
1554948009.70112,,,,
1554948009.70425,792.967041,25.38461494,914.6520386,949.3040161
1554948009.70723,,,,
1554948009.70815,799.0109863,25.38461494,916.666687,980.3296509
1554948009.71204,787.7289429,25.38461494,610.8424683,796.5933838
1554948009.71594,780.0732422,25.38461494,669.267395,735.3479614
1554948009.71984,801.8314819,25.38461494,970.6593628,906.5933838
1554948009.72051,,,,
1554948009.72374,798.2051392,25.38461494,1131.428589,1002.893799
1554948009.72660,,,,
1554948009.72764,782.8937988,25.38461494,946.4835205,863.8828125
1554948009.73154,790.1465454,25.38461494,727.6923218,748.6447144
1554948009.73470,,,,
1554948009.73544,788.53479,25.38461494,871.1355591,861.868103
1554948009.73934,784.9084473,25.38461494,985.9707031,1000.87915
1554948009.73990,,,,
1554948009.74324,788.9377441,25.38461494,865.8974609,909.8168335
1554948009.74597,,,,
1554948009.74713,785.7142944,25.38461494,736.9597168,759.5238037
1554948009.75103,783.2966919,25.38461494,748.2417603,829.2307739
1554948009.75493,781.2820435,25.38461494,909.4139404,996.4468994
1554948009.75705,,,,
1554948009.75705,,,,
1554948009.75722,,,,
1554948009.75725,,,,
1554948009.75727,,,,
1554948009.75729,,,,
1554948009.75730,,,,
1554948009.75732,,,,
1554948009.75733,,,,
1554948009.75735,,,,
1554948009.75737,,,,
1554948009.75738,,,,
1554948009.75740,,,,
1554948009.75740,,,,
1554948009.75741,,,,
1554948009.75742,,,,
1554948009.75743,,,,
1554948009.75745,,,,
1554948009.75883,772.8204956,25.38461494,940.0366211,969.0476074
1554948009.75930,,,,
1554948009.76273,772.8204956,25.38461494,728.901123,805.4578857
1554948009.76534,,,,
1554948009.76663,774.432251,24.98168564,648.7179565,801.4285889
1554948009.76985,,,,
1554948009.77053,788.131897,25.38461494,748.6447144,963.4066162
1554948009.77443,795.7875366,25.38461494,893.699646,994.835144
1554948009.77832,794.9816895,25.38461494,844.9450684,839.7069702
1554948009.77869,,,,
1554948009.78222,809.0842285,25.38461494,656.7765503,775.2380981
1554948009.78472,,,,
1554948009.78612,794.9816895,25.38461494,821.1721802,910.6226807
1554948009.79002,797.399292,25.38461494,1019.816834,1009.743591
